Date,Adjusted Value
2025-06-27,100.0
2025-06-30,100.11553395036097
2025-07-01,101.15119282257835
2025-07-02,102.47867015826948
2025-07-03,103.52170090787591
2025-07-07,101.91941886231929
2025-07-08,102.5873042111962
2025-07-09,103.68049968742565
2025-07-10,104.18313586403741
2025-07-11,102.8676265914855
2025-07-14,103.55345841626227
2025-07-15,101.49687318898762
2025-07-16,102.50675296557928
2025-07-17,103.73527183741683
2025-07-18,103.10605513197851
2025-07-21,102.69730925351537
2025-07-22,103.50881136006305
2025-07-23,105.09083198041778
2025-07-24,103.66392420091827
2025-07-25,104.0754345334023
2025-07-28,103.8756633987299
2025-07-29,103.24183926992342
2025-07-30,102.75576734220108
2025-07-31,101.8006597156006
2025-08-01,99.73533162154445
2025-08-04,101.83058549225767
2025-08-05,102.4459911652095
2025-08-06,102.2443882988078
2025-08-07,101.9419727615873
2025-08-08,102.11227886193946
2025-08-11,102.02436697655148
2025-08-12,105.07472847386518
2025-08-13,107.1589357661128
2025-08-14,105.82500803770625
2025-08-15,105.2468775435646
2025-08-18,105.6128080975578
2025-08-19,104.79073139249931
2025-08-20,104.45655834689245
2025-08-21,104.67519744213834
2025-08-22,108.71886322953632
2025-08-25,107.67031480950608
2025-08-26,108.56467187335474
2025-08-27,109.264314730618
2025-08-28,109.47650343314848
2025-08-29,108.92461277696935
2025-09-02,108.27053846057893
2025-09-03,108.16743331569401
2025-09-04,109.53174756309444
2025-09-05,110.05831986598466
2025-09-08,110.23506512143426
2025-09-09,109.63347048096892
2025-09-10,109.4580962149118
2025-09-11,111.4612915192057
2025-09-12,110.33495630757945
2025-09-15,110.70640453199647
2025-09-16,110.60974977982697
2025-09-17,110.80813868748892
2025-09-18,113.58645992895802
2025-09-19,112.71512874433216
2025-09-22,113.38577854722996
2025-09-23,113.11742423007989
2025-09-24,112.08038313085206
2025-09-25,110.97844478784107
2025-09-26,112.05000784947615
2025-09-29,112.0928119363281
2025-09-30,112.14942705566655
2025-10-01,112.41962434216389
2025-10-02,113.16253202861591
2025-10-03,113.97678735156651
2025-10-06,114.44491280338899
2025-10-07,113.15930683225821
2025-10-08,114.33627875046228
2025-10-09,113.63940034721992
2025-10-10,110.22126532656574
2025-10-13,113.2973946818872
2025-10-14,114.8660762497102
2025-10-15,115.98228636754449
2025-10-16,113.55516316290849
2025-10-17,112.87162381219783
2025-10-20,115.06906134312234
2025-10-21,114.50658485081443
2025-10-22,112.84309150016918
2025-10-23,114.27505620775568
2025-10-24,115.69322112047367
2025-10-27,116.01404387593085
2025-10-28,115.37929826245075
2025-10-29,114.37402590922724
2025-10-30,113.50590868334112
2025-10-31,114.12407881031383
2025-11-03,113.7494053895391
2025-11-04,111.72872435168215
2025-11-05,113.45205801802356
2025-11-06,111.3365539597264
2025-11-07,111.98096392466165
2025-11-10,113.031804818758
2025-11-11,113.15286767716076
2025-11-12,112.80856953776193
2025-11-13,109.68686040394967
2025-11-14,109.92851414080039
2025-11-17,107.77203772738055
2025-11-18,108.11081819635557
2025-11-19,108.07168881058017
2025-11-20,106.10256596397467
2025-11-21,109.0705332463242
2025-11-24,111.12757921593565
2025-11-25,113.50729091035156
2025-11-26,114.4343269672602
2025-11-28,115.0929974694008
2025-12-01,113.65227865741481
2025-12-02,113.4612616271419
2025-12-03,115.63199857776706
2025-12-04,116.50747644342427
2025-12-05,116.06191612848777
2025-12-08,116.03890148688295
2025-12-09,116.28101596607048
2025-12-10,117.81701854083352
2025-12-11,119.24392632033302
2025-12-12,117.44187314010398
2025-12-15,116.48492254415625
2025-12-16,115.96157543762374
2025-12-17,114.71878479096289
2025-12-18,115.43546387707035
2025-12-19,116.42784668248099
2025-12-22,117.77881063973174
2025-12-23,116.96593754379158
2025-12-24,117.28629955691196
2025-12-26,116.65431839745274
2025-12-29,115.98448894066684
