Date,Adjusted Value
2025-06-27,99.99999999999999
2025-06-30,100.51644274245325
2025-07-01,100.40401197647891
2025-07-02,100.88043873152087
2025-07-03,101.72167619132593
2025-07-07,100.92191013337845
2025-07-08,100.84966146189895
2025-07-09,101.46102253780458
2025-07-10,101.73965530565403
2025-07-11,101.4041664560666
2025-07-14,101.54688408027337
2025-07-15,101.14513432407507
2025-07-16,101.46815723253575
2025-07-17,102.01342350891404
2025-07-18,102.00419270098581
2025-07-21,102.14691032519258
2025-07-22,102.21203221180203
2025-07-23,103.01050105252565
2025-07-24,103.0824254196992
2025-07-25,103.4921087666019
2025-07-28,103.51041218523596
2025-07-29,103.20407908374067
2025-07-30,103.07513252774561
2025-07-31,102.69428853449018
2025-08-01,101.05198779951381
2025-08-04,102.54120108235375
2025-08-05,102.04306966839567
2025-08-06,102.78613784182761
2025-08-07,102.70416795103036
2025-08-08,103.50523122620169
2025-08-11,103.24604089698774
2025-08-12,104.41741223040127
2025-08-13,104.75468870860205
2025-08-14,104.78643889114187
2025-08-15,104.48285842131669
2025-08-18,104.4723303961646
2025-08-19,103.86032071164703
2025-08-20,103.60776675591362
2025-08-21,103.19290244997664
2025-08-22,104.76003577471987
2025-08-25,104.313089072076
2025-08-26,104.74431888067238
2025-08-27,104.99476090348648
2025-08-28,105.32619990417993
2025-08-29,104.65230346625142
2025-09-02,103.92787092562064
2025-09-03,104.45791071934096
2025-09-04,105.32976725154552
2025-09-05,104.9963824250163
2025-09-08,105.21750259265472
2025-09-09,105.50034340662056
2025-09-10,105.81510051020976
2025-09-11,106.71303585453037
2025-09-12,106.6615189290491
2025-09-15,107.16353408481758
2025-09-16,107.02551491811671
2025-09-17,106.92168217118093
2025-09-18,107.43374285057314
2025-09-19,107.95860168525918
2025-09-22,108.43470413599518
2025-09-23,107.83807913135803
2025-09-24,107.53110533111192
2025-09-25,106.99247542821416
2025-09-26,107.62392755136722
2025-09-29,107.90757517116741
2025-09-30,108.34900870060993
2025-10-01,108.7173867527386
2025-10-02,108.78461266240625
2025-10-03,108.7917394472763
2025-10-06,109.18845853180163
2025-10-07,108.7722970086408
2025-10-08,109.40618536901914
2025-10-09,109.10470892225214
2025-10-10,106.14669770812564
2025-10-13,107.80244520700778
2025-10-14,107.63380696790739
2025-10-15,108.06714079956197
2025-10-16,107.38692438259775
2025-10-17,107.9529303148354
2025-10-20,109.1050332265581
2025-10-21,109.1086005739237
2025-10-22,108.52622913902664
2025-10-23,109.15865417509758
2025-10-24,110.02127198951278
2025-10-27,111.37343901856974
2025-10-28,111.62825519458376
2025-10-29,111.62339062999433
2025-10-30,110.51778188194105
2025-10-31,110.80710878202613
2025-11-03,110.99777598434859
2025-11-04,109.6950139478536
2025-11-05,110.09579079113402
2025-11-06,108.8651192288961
2025-11-07,109.00248978698505
2025-11-10,110.68123916200716
2025-11-11,110.91094152896191
2025-11-12,110.98076187307726
2025-11-13,109.14326949521717
2025-11-14,109.08850952667628
2025-11-17,108.08901156556162
2025-11-18,107.19658148458126
2025-11-19,107.59897984939148
2025-11-20,105.9239560189574
2025-11-21,106.96445079026235
2025-11-24,108.61889316205952
2025-11-25,109.60316464051618
2025-11-26,110.36016207938225
2025-11-28,110.95111571359563
2025-12-01,110.36048638368821
2025-12-02,110.63166806236165
2025-12-03,110.96132734430287
2025-12-04,111.0812012895921
2025-12-05,111.2963257825008
2025-12-08,110.9093200074321
2025-12-09,110.81212363397687
2025-12-10,111.56005637199823
2025-12-11,111.79202886909472
2025-12-12,110.59991787982183
2025-12-15,110.42333814015593
2025-12-16,110.160097962048
2025-12-17,108.88310625308533
2025-12-18,109.74701337486326
2025-12-19,110.7147690632992
2025-12-22,111.42738427141516
2025-12-23,111.93442218899553
2025-12-24,112.2950169377811
2025-12-26,112.26083842787713
2025-12-29,111.86881780085768
